@relation  winequality-white
@attribute FixedAcidity real[3.8,14.2]
@attribute VolatileAcidity real[0.08,1.1]
@attribute CitricAcid real[0.0,1.66]
@attribute ResidualSugar real[0.6,65.8]
@attribute Chlorides real[0.0090,0.346]
@attribute FreeSulfurDioxide real[2.0,289.0]
@attribute TotalSulfurDioxide real[9.0,440.0]
@attribute Density real[0.98711,1.03898]
@attribute PH real[2.72,3.82]
@attribute Sulphates real[0.22,1.08]
@attribute Alcohol real[8.0,14.2]
@attribute Quality{0,1,2,3,4,5,6,7,8,9,10}
@inputs FixedAcidity,VolatileAcidity,CitricAcid,ResidualSugar,Chlorides,FreeSulfurDioxide,TotalSulfurDioxide,Density,PH,Sulphates,Alcohol
@outputs Quality
@data
6.7, 0.25, 0.13, 1.2, 0.041, 81.0, 174.0, 0.992, 3.14, 0.42, 9.8, 5
6.7, 0.35, 0.48, 8.8, 0.056, 35.0, 167.0, 0.99628, 3.04, 0.47, 9.4, 5
6.4, 0.24, 0.26, 8.2, 0.054, 47.0, 182.0, 0.99538, 3.12, 0.5, 9.5, 5
7.6, 0.23, 0.4, 5.2, 0.066, 14.0, 91.0, 0.99488, 3.17, 0.8, 9.7, 5
8.3, 0.14, 0.36, 8.8, 0.026, 13.0, 60.0, 0.9956, 3.13, 0.35, 11.05, 5
7.2, 0.2, 0.22, 1.6, 0.044, 17.0, 101.0, 0.99471, 3.37, 0.53, 10.0, 5
7.2, 0.31, 0.26, 7.3, 0.05, 37.0, 157.0, 0.99625, 3.09, 0.43, 9.0, 5
6.1, 0.43, 0.35, 9.1, 0.059, 83.0, 249.0, 0.9971, 3.37, 0.5, 8.5, 5
6.6, 0.3, 0.24, 1.2, 0.034, 17.0, 121.0, 0.9933, 3.13, 0.36, 9.2, 5
7.7, 0.25, 0.3, 7.8, 0.038, 67.0, 196.0, 0.99555, 3.1, 0.5, 10.1, 5
7.6, 0.23, 0.34, 1.6, 0.043, 24.0, 129.0, 0.99305, 3.12, 0.7, 10.4, 5
7.5, 0.31, 0.51, 14.8, 0.039, 62.0, 204.0, 0.9982, 3.06, 0.6, 9.5, 5
6.2, 0.46, 0.25, 4.4, 0.066, 62.0, 207.0, 0.9939, 3.25, 0.52, 9.8, 5
6.9, 0.28, 0.37, 9.1, 0.037, 16.0, 76.0, 0.9948, 3.05, 0.54, 11.1, 5
6.7, 0.24, 0.29, 14.9, 0.053, 55.0, 136.0, 0.99839, 3.03, 0.52, 9.0, 5
6.4, 0.62, 0.12, 4.7, 0.06, 33.0, 196.0, 0.99556, 3.22, 0.48, 8.9, 5
6.6, 0.26, 0.22, 18.15, 0.05, 23.0, 139.0, 0.99904, 3.06, 0.5, 9.2, 5
7.4, 0.27, 0.26, 11.8, 0.053, 55.0, 173.0, 0.99699, 3.11, 0.6, 9.8, 5
7.0, 0.44, 0.24, 12.1, 0.056, 68.0, 210.0, 0.99718, 3.05, 0.5, 9.5, 5
6.3, 0.305, 0.22, 16.0, 0.061, 26.0, 141.0, 0.99824, 3.08, 0.5, 9.1, 5
6.2, 0.36, 0.14, 8.9, 0.036, 38.0, 155.0, 0.99622, 3.27, 0.5, 9.4, 5
6.8, 0.18, 0.21, 5.4, 0.053, 34.0, 104.0, 0.99445, 3.3, 0.43, 9.4, 5
6.8, 0.28, 0.39, 1.4, 0.036, 15.0, 115.0, 0.9918, 3.27, 0.72, 11.7, 5
6.3, 0.18, 0.22, 5.6, 0.047, 45.0, 147.0, 0.99383, 3.09, 0.54, 10.0, 5
7.6, 0.28, 0.49, 20.15, 0.06, 30.0, 145.0, 1.00196, 3.01, 0.44, 8.5, 5
9.2, 0.28, 0.46, 3.2, 0.058, 39.0, 133.0, 0.996, 3.14, 0.58, 9.5, 5
5.3, 0.21, 0.29, 0.7, 0.028, 11.0, 66.0, 0.99215, 3.3, 0.4, 9.8, 5
7.3, 0.28, 0.35, 1.6, 0.054, 31.0, 148.0, 0.99178, 3.18, 0.47, 10.7, 5
7.3, 0.25, 0.39, 6.4, 0.034, 8.0, 84.0, 0.9942, 3.18, 0.46, 11.5, 5
7.2, 0.16, 0.26, 7.1, 0.054, 41.0, 224.0, 0.9966, 3.38, 0.55, 10.1, 5
7.4, 0.33, 0.26, 15.6, 0.049, 67.0, 210.0, 0.99907, 3.06, 0.68, 9.5, 5
6.5, 0.27, 0.4, 10.0, 0.039, 74.0, 227.0, 0.99582, 3.18, 0.5, 9.4, 5
6.4, 0.33, 0.44, 8.9, 0.055, 52.0, 164.0, 0.99488, 3.1, 0.48, 9.6, 5
6.2, 0.28, 0.43, 13.0, 0.039, 64.0, 233.0, 0.99745, 3.08, 0.38, 8.9, 5
6.3, 0.33, 0.2, 17.9, 0.066, 36.0, 161.0, 0.9991, 3.14, 0.51, 8.8, 5
6.9, 0.4, 0.17, 12.9, 0.033, 59.0, 186.0, 0.99754, 3.08, 0.49, 9.4, 5
6.6, 0.24, 0.28, 1.8, 0.028, 39.0, 132.0, 0.99182, 3.34, 0.46, 11.4, 5
6.9, 0.38, 0.25, 9.8, 0.04, 28.0, 191.0, 0.9971, 3.28, 0.61, 9.2, 5
6.6, 0.24, 0.35, 7.7, 0.031, 36.0, 135.0, 0.9938, 3.19, 0.37, 10.5, 5
7.3, 0.25, 0.29, 7.5, 0.049, 38.0, 158.0, 0.9965, 3.43, 0.38, 9.6, 5
7.4, 0.25, 0.37, 13.5, 0.06, 52.0, 192.0, 0.9975, 3.0, 0.44, 9.1, 5
6.9, 0.32, 0.13, 7.8, 0.042, 11.0, 117.0, 0.996, 3.23, 0.37, 9.2, 5
7.9, 0.29, 0.31, 7.35, 0.034, 37.0, 154.0, 0.9938, 3.06, 0.31, 10.8, 5
6.7, 0.42, 0.46, 9.7, 0.054, 67.0, 234.0, 0.99848, 3.23, 0.5, 9.0, 5
7.3, 0.3, 0.25, 2.5, 0.045, 32.0, 122.0, 0.99329, 3.18, 0.54, 10.3, 5
6.6, 0.22, 0.53, 15.1, 0.052, 22.0, 136.0, 0.9986, 2.94, 0.35, 9.4, 5
6.5, 0.2, 0.24, 9.2, 0.044, 25.0, 150.0, 0.99502, 3.22, 0.44, 10.5, 5
5.0, 0.24, 0.19, 5.0, 0.043, 17.0, 101.0, 0.99438, 3.67, 0.57, 10.0, 5
6.3, 0.27, 0.18, 7.7, 0.048, 45.0, 186.0, 0.9962, 3.23, 0.47, 9.0, 5
7.6, 0.27, 0.29, 2.5, 0.059, 37.0, 115.0, 0.99328, 3.09, 0.37, 9.8, 5
7.0, 0.12, 0.28, 6.3, 0.057, 17.0, 103.0, 0.9957, 3.5, 0.44, 9.6, 5
6.9, 0.32, 0.13, 7.8, 0.042, 11.0, 117.0, 0.996, 3.23, 0.37, 9.2, 5
6.3, 0.29, 0.14, 7.05, 0.045, 50.0, 177.0, 0.99564, 3.23, 0.42, 9.0, 5
5.8, 0.34, 0.21, 7.2, 0.041, 48.0, 146.0, 0.99441, 3.16, 0.49, 9.8, 5
6.6, 0.24, 0.35, 7.7, 0.031, 36.0, 135.0, 0.9938, 3.19, 0.37, 10.5, 5
8.4, 0.57, 0.44, 10.7, 0.051, 46.0, 195.0, 0.9981, 3.15, 0.51, 10.4, 5
5.1, 0.21, 0.28, 1.4, 0.047, 48.0, 148.0, 0.99168, 3.5, 0.49, 10.4, 5
6.5, 0.25, 0.27, 15.2, 0.049, 75.0, 217.0, 0.9972, 3.19, 0.39, 9.9, 5
6.7, 0.2, 0.37, 1.65, 0.025, 42.0, 103.0, 0.99022, 3.11, 0.45, 11.4, 5
6.6, 0.25, 0.36, 8.1, 0.045, 54.0, 180.0, 0.9958, 3.08, 0.42, 9.2, 5
7.8, 0.27, 0.28, 1.8, 0.05, 21.0, 127.0, 0.9934, 3.15, 0.44, 9.9, 5
6.4, 0.28, 0.45, 8.6, 0.057, 47.0, 223.0, 0.99654, 3.16, 0.51, 9.1, 5
9.4, 0.16, 0.23, 1.6, 0.042, 14.0, 67.0, 0.9942, 3.07, 0.32, 9.5, 5
6.2, 0.25, 0.54, 7.0, 0.046, 58.0, 176.0, 0.99454, 3.19, 0.7, 10.4, 5
8.0, 0.23, 0.41, 1.1, 0.048, 35.0, 150.0, 0.99168, 3.09, 0.47, 11.2, 5
7.9, 0.21, 0.39, 2.0, 0.057, 21.0, 138.0, 0.99176, 3.05, 0.52, 10.9, 5
6.1, 0.16, 0.27, 12.6, 0.064, 63.0, 162.0, 0.9994, 3.66, 0.43, 8.9, 5
7.3, 0.24, 0.39, 17.95, 0.057, 45.0, 149.0, 0.9999, 3.21, 0.36, 8.6, 5
8.7, 0.24, 0.35, 0.6, 0.042, 11.0, 71.0, 0.9926, 3.08, 0.38, 10.6, 5
8.2, 0.38, 0.49, 13.6, 0.042, 58.0, 166.0, 0.99855, 3.1, 0.54, 9.4, 5
7.1, 0.32, 0.24, 13.1, 0.05, 52.0, 204.0, 0.998, 3.1, 0.49, 8.8, 5
7.4, 0.33, 0.26, 15.6, 0.049, 67.0, 210.0, 0.99907, 3.06, 0.68, 9.5, 5
6.7, 0.24, 0.26, 12.6, 0.053, 44.0, 182.0, 0.99802, 3.42, 0.42, 9.7, 5
7.1, 0.33, 0.64, 13.2, 0.056, 12.0, 105.0, 0.9972, 3.05, 0.39, 9.2, 5
6.8, 0.37, 0.51, 11.8, 0.044, 62.0, 163.0, 0.9976, 3.19, 0.44, 8.8, 5
7.6, 0.36, 0.49, 11.3, 0.046, 87.0, 221.0, 0.9984, 3.01, 0.43, 9.2, 5
7.5, 0.41, 0.23, 14.8, 0.054, 28.0, 174.0, 0.99898, 3.18, 0.49, 9.7, 5
7.4, 0.31, 0.26, 8.6, 0.048, 47.0, 206.0, 0.9964, 3.26, 0.36, 9.1, 5
6.9, 0.4, 0.17, 12.9, 0.033, 59.0, 186.0, 0.99754, 3.08, 0.49, 9.4, 5
8.3, 0.2, 0.49, 1.7, 0.04, 34.0, 169.0, 0.9938, 3.05, 0.37, 10.1, 5
6.2, 0.36, 0.14, 8.9, 0.036, 38.0, 155.0, 0.99622, 3.27, 0.5, 9.4, 5
7.3, 0.33, 0.22, 1.4, 0.041, 40.0, 177.0, 0.99287, 3.14, 0.48, 9.9, 5
7.8, 0.13, 0.3, 1.8, 0.04, 43.0, 179.0, 0.9955, 3.43, 0.41, 9.0, 5
7.0, 0.27, 0.29, 3.9, 0.059, 28.0, 199.0, 0.9961, 3.54, 0.59, 10.3, 5
6.0, 0.555, 0.26, 4.5, 0.053, 17.0, 126.0, 0.9943, 3.24, 0.46, 9.1, 5
7.4, 0.22, 0.33, 2.0, 0.045, 31.0, 101.0, 0.9931, 3.42, 0.55, 11.4, 5
7.2, 0.23, 0.25, 18.8, 0.085, 19.0, 111.0, 1.00044, 3.1, 0.51, 8.7, 5
8.4, 0.31, 0.31, 0.95, 0.021, 52.0, 148.0, 0.99038, 2.93, 0.32, 11.5, 5
5.7, 0.26, 0.24, 17.8, 0.059, 23.0, 124.0, 0.99773, 3.3, 0.5, 10.1, 5
6.2, 0.25, 0.44, 15.8, 0.057, 39.0, 167.0, 0.99804, 3.14, 0.51, 9.2, 5
6.4, 0.27, 0.32, 4.5, 0.24, 61.0, 174.0, 0.9948, 3.12, 0.48, 9.4, 5
8.4, 0.4, 0.7, 13.1, 0.042, 29.0, 197.0, 0.998, 3.06, 0.64, 9.7, 5
8.0, 0.37, 0.31, 4.7, 0.038, 3.0, 127.0, 0.99186, 2.9, 0.72, 12.1, 5
5.8, 0.33, 0.2, 16.05, 0.047, 26.0, 166.0, 0.9976, 3.09, 0.46, 8.9, 5
6.7, 0.41, 0.01, 2.8, 0.048, 39.0, 137.0, 0.9942, 3.24, 0.35, 9.5, 5
6.8, 0.35, 0.44, 6.5, 0.056, 31.0, 161.0, 0.9952, 3.14, 0.44, 9.5, 5
6.9, 0.18, 0.33, 1.0, 0.054, 24.0, 164.0, 0.9926, 3.42, 0.51, 10.5, 5
7.9, 0.345, 0.51, 15.3, 0.047, 54.0, 171.0, 0.9987, 3.09, 0.51, 9.1, 5
7.8, 0.23, 0.28, 4.75, 0.042, 45.0, 166.0, 0.9928, 2.96, 0.4, 11.5, 5
8.1, 0.28, 0.49, 1.0, 0.04, 32.0, 148.0, 0.9936, 3.13, 0.41, 10.0, 6
6.1, 0.27, 0.31, 3.9, 0.034, 42.0, 137.0, 0.99218, 3.24, 0.46, 10.9, 6
6.6, 0.3, 0.25, 8.0, 0.036, 21.0, 124.0, 0.99362, 3.06, 0.38, 10.8, 6
8.0, 0.26, 0.28, 8.2, 0.038, 72.0, 202.0, 0.99566, 3.12, 0.56, 10.0, 6
6.4, 0.24, 0.32, 14.9, 0.047, 54.0, 162.0, 0.9968, 3.28, 0.5, 10.2, 6
5.9, 0.24, 0.12, 1.4, 0.035, 60.0, 247.0, 0.99358, 3.34, 0.44, 9.6, 6
5.6, 0.27, 0.37, 0.9, 0.025, 11.0, 49.0, 0.98845, 3.29, 0.33, 13.1, 6
6.7, 0.22, 0.39, 1.2, 0.049, 26.0, 152.0, 0.99346, 3.5, 0.47, 10.0, 6
7.3, 0.22, 0.41, 15.4, 0.05, 55.0, 191.0, 1.0, 3.32, 0.59, 8.9, 6
6.8, 0.23, 0.32, 1.6, 0.026, 43.0, 147.0, 0.9904, 3.29, 0.54, 12.5, 6
6.8, 0.28, 0.29, 11.9, 0.052, 51.0, 149.0, 0.99544, 3.02, 0.58, 10.4, 6
7.0, 0.26, 0.34, 10.9, 0.038, 25.0, 84.0, 0.99432, 3.11, 0.34, 10.9, 6
8.8, 0.23, 0.35, 10.7, 0.04, 26.0, 183.0, 0.9984, 2.93, 0.49, 9.1, 6
6.5, 0.25, 0.27, 17.4, 0.064, 29.0, 140.0, 0.99776, 3.2, 0.49, 10.1, 6
6.5, 0.28, 0.27, 5.2, 0.04, 44.0, 179.0, 0.9948, 3.19, 0.69, 9.4, 6
7.2, 0.37, 0.4, 11.6, 0.032, 34.0, 214.0, 0.9963, 3.1, 0.51, 9.8, 6
7.7, 0.16, 0.36, 5.9, 0.054, 25.0, 148.0, 0.99578, 3.25, 0.54, 10.2, 6
7.0, 0.19, 0.33, 6.3, 0.032, 42.0, 127.0, 0.99182, 3.31, 0.38, 12.2, 6
5.6, 0.19, 0.46, 1.1, 0.032, 33.0, 115.0, 0.9909, 3.36, 0.5, 10.4, 6
6.1, 0.25, 0.28, 10.0, 0.055, 56.0, 131.0, 0.994, 3.22, 0.35, 10.9, 6
7.0, 0.2, 0.31, 8.0, 0.05, 29.0, 213.0, 0.99596, 3.28, 0.57, 10.4, 6
7.5, 0.38, 0.56, 9.7, 0.055, 15.0, 170.0, 0.99605, 3.13, 0.65, 9.9, 6
7.1, 0.55, 0.13, 1.7, 0.073, 21.0, 165.0, 0.994, 2.97, 0.58, 9.2, 6
5.9, 0.445, 0.26, 1.4, 0.027, 23.0, 109.0, 0.99148, 3.3, 0.36, 10.5, 6
6.0, 0.27, 0.3, 14.7, 0.044, 15.0, 144.0, 0.99666, 3.12, 0.53, 10.3, 6
7.0, 0.16, 0.32, 1.1, 0.032, 29.0, 80.0, 0.98972, 3.23, 0.36, 12.1, 6
6.6, 0.37, 0.47, 6.5, 0.061, 23.0, 150.0, 0.9954, 3.14, 0.45, 9.6, 6
6.4, 0.69, 0.09, 7.6, 0.044, 34.0, 144.0, 0.9948, 3.26, 0.38, 10.1, 6
8.4, 0.27, 0.46, 8.7, 0.048, 39.0, 197.0, 0.9974, 3.14, 0.59, 9.6, 6
6.4, 0.17, 0.32, 2.4, 0.048, 41.0, 200.0, 0.9938, 3.5, 0.5, 9.7, 6
6.3, 0.15, 0.34, 11.4, 0.05, 25.0, 96.0, 0.99754, 3.21, 0.49, 10.0, 6
7.4, 0.18, 0.3, 10.4, 0.045, 44.0, 174.0, 0.9966, 3.11, 0.57, 9.7, 6
9.2, 0.71, 0.23, 6.2, 0.042, 15.0, 93.0, 0.9948, 2.89, 0.34, 10.1, 6
8.0, 0.27, 0.33, 1.2, 0.05, 41.0, 103.0, 0.99002, 3.0, 0.45, 12.4, 6
6.9, 0.24, 0.35, 1.0, 0.052, 35.0, 146.0, 0.993, 3.45, 0.44, 10.0, 6
7.0, 0.21, 0.37, 7.2, 0.042, 36.0, 167.0, 0.9958, 3.26, 0.56, 9.8, 6
6.4, 0.18, 0.32, 9.6, 0.052, 24.0, 90.0, 0.9963, 3.35, 0.49, 9.4, 6
6.8, 0.28, 0.36, 1.6, 0.04, 25.0, 87.0, 0.9924, 3.23, 0.66, 10.3, 6
5.6, 0.225, 0.24, 9.8, 0.054, 59.0, 140.0, 0.99545, 3.17, 0.39, 10.2, 6
6.1, 0.22, 0.38, 2.8, 0.144, 12.0, 65.0, 0.9908, 2.95, 0.64, 11.4, 6
6.6, 0.21, 0.5, 8.7, 0.036, 41.0, 191.0, 0.99294, 2.96, 0.56, 11.0, 6
5.8, 0.23, 0.2, 2.0, 0.043, 39.0, 154.0, 0.99226, 3.21, 0.39, 10.2, 6
7.2, 0.21, 1.0, 1.1, 0.154, 46.0, 114.0, 0.9931, 2.95, 0.43, 9.2, 6
5.9, 0.34, 0.25, 2.0, 0.042, 12.0, 110.0, 0.99034, 3.02, 0.54, 11.4, 6
7.2, 0.15, 0.38, 1.2, 0.038, 18.0, 110.0, 0.9917, 3.19, 0.43, 11.1, 6
7.2, 0.16, 0.49, 1.3, 0.037, 27.0, 104.0, 0.9924, 3.23, 0.57, 10.6, 6
7.2, 0.34, 0.2, 5.8, 0.062, 52.0, 203.0, 0.99461, 3.17, 0.44, 9.8, 6
6.7, 0.32, 0.32, 1.7, 0.031, 31.0, 114.0, 0.98946, 3.12, 0.35, 12.5, 6
5.8, 0.27, 0.4, 1.2, 0.076, 47.0, 130.0, 0.99185, 3.13, 0.45, 10.3, 6
6.5, 0.29, 0.3, 9.15, 0.051, 25.0, 166.0, 0.99339, 3.24, 0.56, 11.35, 6
6.8, 0.32, 0.21, 2.2, 0.044, 15.0, 68.0, 0.9932, 3.17, 0.39, 9.4, 6
5.2, 0.36, 0.02, 1.6, 0.031, 24.0, 104.0, 0.9896, 3.44, 0.35, 12.2, 6
8.5, 0.19, 0.49, 3.5, 0.044, 29.0, 117.0, 0.9938, 3.14, 0.51, 10.1, 6
7.7, 0.26, 0.31, 1.3, 0.043, 47.0, 155.0, 0.9937, 3.42, 0.5, 10.1, 6
5.9, 0.25, 0.24, 7.4, 0.044, 21.0, 113.0, 0.99462, 3.38, 0.58, 10.5, 6
7.6, 0.27, 0.25, 13.9, 0.05, 45.0, 199.0, 0.9984, 3.34, 0.5, 9.8, 6
6.8, 0.28, 0.35, 2.3, 0.042, 16.0, 85.0, 0.9906, 3.19, 0.56, 12.4, 6
6.6, 0.28, 0.34, 0.8, 0.037, 42.0, 119.0, 0.9888, 3.03, 0.37, 12.5, 6
7.4, 0.15, 0.42, 1.7, 0.045, 49.0, 154.0, 0.992, 3.0, 0.6, 10.4, 6
7.3, 0.29, 0.3, 13.0, 0.043, 46.0, 238.0, 0.9986, 3.06, 0.41, 8.7, 6
6.3, 0.4, 0.32, 10.6, 0.049, 38.0, 209.0, 0.9981, 3.47, 0.59, 9.3, 6
6.9, 0.23, 0.41, 8.0, 0.03, 30.0, 114.0, 0.99368, 3.22, 0.54, 11.0, 6
6.0, 0.39, 0.26, 2.7, 0.038, 39.0, 187.0, 0.99325, 3.41, 0.5, 10.8, 6
7.9, 0.3, 0.27, 8.5, 0.036, 20.0, 112.0, 0.9939, 2.96, 0.46, 11.7, 6
6.2, 0.36, 0.45, 10.4, 0.06, 22.0, 184.0, 0.99711, 3.31, 0.56, 9.8, 6
7.8, 0.31, 0.4, 1.6, 0.027, 20.0, 87.0, 0.9911, 3.15, 0.48, 11.9, 6
5.4, 0.27, 0.22, 4.6, 0.022, 29.0, 107.0, 0.98889, 3.33, 0.54, 13.8, 6
6.0, 0.2, 0.24, 1.8, 0.03, 30.0, 105.0, 0.9909, 3.31, 0.47, 11.5, 6
6.9, 0.23, 0.4, 7.5, 0.04, 50.0, 151.0, 0.9927, 3.11, 0.27, 11.4, 6
6.6, 0.64, 0.28, 4.4, 0.032, 19.0, 78.0, 0.99036, 3.11, 0.62, 12.9, 6
5.7, 0.21, 0.24, 2.3, 0.047, 60.0, 189.0, 0.995, 3.65, 0.72, 10.1, 6
7.7, 0.29, 0.48, 2.3, 0.049, 36.0, 178.0, 0.9931, 3.17, 0.64, 10.6, 6
8.2, 0.22, 0.3, 1.8, 0.047, 47.0, 185.0, 0.9933, 3.13, 0.5, 10.2, 6
7.8, 0.42, 0.23, 8.8, 0.054, 42.0, 215.0, 0.9971, 3.02, 0.58, 9.2, 6
5.6, 0.2, 0.36, 2.5, 0.048, 16.0, 125.0, 0.99282, 3.49, 0.49, 10.0, 6
6.2, 0.3, 0.49, 11.2, 0.058, 68.0, 215.0, 0.99656, 3.19, 0.6, 9.4, 6
6.0, 0.31, 0.24, 3.3, 0.041, 25.0, 143.0, 0.9914, 3.31, 0.44, 11.3, 6
6.9, 0.19, 0.35, 13.5, 0.038, 49.0, 118.0, 0.99546, 3.0, 0.63, 10.7, 6
8.4, 0.2, 0.38, 11.8, 0.055, 51.0, 170.0, 1.0004, 3.34, 0.82, 8.9, 6
6.8, 0.23, 0.48, 1.5, 0.036, 35.0, 165.0, 0.99162, 3.18, 0.45, 11.3, 6
6.2, 0.32, 0.45, 2.9, 0.029, 37.0, 94.0, 0.98998, 3.25, 0.6, 12.4, 6
6.8, 0.23, 0.4, 1.6, 0.047, 5.0, 133.0, 0.993, 3.23, 0.7, 11.4, 6
6.5, 0.19, 0.3, 0.8, 0.043, 33.0, 144.0, 0.9936, 3.42, 0.39, 9.1, 6
6.6, 0.26, 0.27, 1.5, 0.04, 19.0, 114.0, 0.99295, 3.36, 0.62, 10.5, 6
6.3, 0.23, 0.22, 17.45, 0.054, 42.0, 151.0, 0.99853, 3.12, 0.6, 9.3, 6
6.8, 0.21, 0.74, 1.2, 0.047, 25.0, 111.0, 0.9916, 3.13, 0.41, 10.7, 6
8.5, 0.19, 0.48, 1.1, 0.026, 23.0, 58.0, 0.99184, 2.9, 0.5, 10.5, 6
5.8, 0.23, 0.21, 1.5, 0.044, 21.0, 110.0, 0.99138, 3.3, 0.57, 11.0, 6
7.2, 0.39, 0.63, 11.0, 0.044, 55.0, 156.0, 0.9974, 3.09, 0.44, 8.7, 6
6.3, 0.48, 0.04, 1.1, 0.046, 30.0, 99.0, 0.9928, 3.24, 0.36, 9.6, 6
8.3, 0.2, 0.74, 4.45, 0.044, 33.0, 130.0, 0.9924, 3.25, 0.42, 12.2, 6
5.6, 0.13, 0.27, 4.8, 0.028, 22.0, 104.0, 0.9948, 3.34, 0.45, 9.2, 6
6.0, 0.28, 0.24, 17.8, 0.047, 42.0, 111.0, 0.99896, 3.1, 0.45, 8.9, 6
6.8, 0.19, 0.34, 1.9, 0.04, 41.0, 108.0, 0.99, 3.25, 0.45, 12.9, 6
6.6, 0.23, 0.26, 1.3, 0.045, 16.0, 128.0, 0.9934, 3.36, 0.6, 10.0, 6
8.2, 0.23, 0.29, 1.8, 0.047, 47.0, 187.0, 0.9933, 3.13, 0.5, 10.2, 6
7.3, 0.16, 0.35, 1.5, 0.036, 29.0, 108.0, 0.99342, 3.27, 0.51, 10.2, 6
6.0, 0.26, 0.33, 4.35, 0.04, 15.0, 80.0, 0.98934, 3.29, 0.5, 12.7, 6
6.0, 0.33, 0.2, 1.8, 0.031, 49.0, 159.0, 0.9919, 3.41, 0.53, 11.0, 6
7.7, 0.26, 0.34, 6.4, 0.05, 36.0, 163.0, 0.9937, 3.19, 0.7, 11.5, 6
6.6, 0.22, 0.23, 17.3, 0.047, 37.0, 118.0, 0.99906, 3.08, 0.46, 8.8, 6
6.4, 0.29, 0.21, 9.65, 0.041, 36.0, 119.0, 0.99334, 2.99, 0.34, 10.9333333333333, 6
7.7, 0.25, 0.49, 2.5, 0.047, 31.0, 169.0, 0.99252, 3.07, 0.57, 10.6, 6
7.1, 0.09, 0.3, 6.2, 0.032, 24.0, 134.0, 0.993, 2.99, 0.39, 10.9, 6
7.8, 0.19, 0.32, 7.4, 0.015, 47.0, 124.0, 0.99278, 2.99, 0.39, 11.0, 6
6.2, 0.18, 0.49, 4.5, 0.047, 17.0, 90.0, 0.9919, 3.27, 0.37, 11.6, 6
6.7, 0.26, 0.29, 5.8, 0.025, 26.0, 74.0, 0.9929, 3.28, 0.53, 11.0, 6
7.3, 0.26, 0.49, 5.0, 0.028, 32.0, 107.0, 0.9936, 3.24, 0.54, 10.8, 6
7.2, 0.25, 0.32, 1.5, 0.054, 24.0, 105.0, 0.99154, 3.17, 0.48, 11.1, 6
6.2, 0.21, 0.29, 1.6, 0.039, 24.0, 92.0, 0.99114, 3.27, 0.5, 11.2, 6
7.4, 0.2, 0.37, 16.95, 0.048, 43.0, 190.0, 0.9995, 3.03, 0.42, 9.2, 6
6.7, 0.53, 0.29, 4.3, 0.069, 20.0, 114.0, 0.99014, 3.22, 0.59, 13.4, 6
7.4, 0.32, 0.55, 16.6, 0.056, 53.0, 238.0, 1.0017, 2.96, 0.58, 8.7, 6
6.6, 0.28, 0.36, 1.7, 0.038, 22.0, 101.0, 0.9912, 3.29, 0.57, 11.6, 6
6.8, 0.11, 0.27, 8.6, 0.044, 45.0, 104.0, 0.99454, 3.2, 0.37, 9.9, 6
6.1, 0.255, 0.44, 12.3, 0.045, 53.0, 197.0, 0.9967, 3.24, 0.54, 9.5, 6
6.5, 0.26, 0.24, 10.8, 0.042, 47.0, 130.0, 0.996, 3.08, 0.4, 10.1, 6
5.7, 0.12, 0.26, 5.5, 0.034, 21.0, 99.0, 0.99324, 3.09, 0.57, 9.9, 6
7.4, 0.16, 0.49, 1.2, 0.055, 18.0, 150.0, 0.9917, 3.23, 0.47, 11.2, 6
5.1, 0.26, 0.34, 6.4, 0.034, 26.0, 99.0, 0.99449, 3.23, 0.41, 9.2, 6
6.8, 0.24, 0.33, 3.2, 0.049, 68.0, 161.0, 0.99324, 3.1, 0.69, 10.2, 6
8.0, 0.3, 0.28, 5.7, 0.044, 31.0, 124.0, 0.9948, 3.16, 0.51, 10.2, 6
7.5, 0.21, 0.34, 1.2, 0.06, 26.0, 111.0, 0.9931, 3.51, 0.47, 10.7, 6
7.5, 0.26, 0.38, 5.7, 0.021, 23.0, 125.0, 0.99338, 3.13, 0.62, 11.1, 6
7.8, 0.43, 0.49, 13.0, 0.033, 37.0, 158.0, 0.9955, 3.14, 0.35, 11.3, 6
6.5, 0.22, 0.34, 12.0, 0.053, 55.0, 177.0, 0.9983, 3.52, 0.44, 9.9, 6
7.2, 0.28, 0.54, 16.7, 0.045, 54.0, 200.0, 0.999, 3.08, 0.49, 9.5, 6
7.9, 0.27, 0.27, 1.7, 0.034, 25.0, 122.0, 0.99088, 2.97, 0.51, 11.9, 6
8.2, 0.34, 0.49, 8.0, 0.046, 55.0, 223.0, 0.996, 3.08, 0.52, 10.7, 6
6.9, 0.34, 0.49, 7.3, 0.045, 61.0, 206.0, 0.9957, 3.09, 0.4, 9.0, 6
6.4, 0.25, 0.33, 1.7, 0.037, 35.0, 113.0, 0.99164, 3.23, 0.66, 10.6, 6
6.3, 0.26, 0.24, 7.2, 0.039, 38.0, 172.0, 0.9958, 3.49, 0.64, 9.7, 6
6.7, 0.19, 0.34, 1.0, 0.022, 22.0, 94.0, 0.9912, 3.23, 0.57, 11.1, 6
6.4, 0.17, 0.3, 2.8, 0.034, 33.0, 125.0, 0.99152, 3.03, 0.49, 10.4, 6
6.1, 0.16, 0.24, 1.4, 0.046, 17.0, 77.0, 0.99319, 3.66, 0.57, 10.3, 6
4.4, 0.46, 0.1, 2.8, 0.024, 31.0, 111.0, 0.98816, 3.48, 0.34, 13.1, 6
